+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                        Tabla de parseo SLR(1) Simulación                                                                                                                         |
+-------+----------------------------------------------------------+-----------------------------------------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------------+
| State |                          Stack                           |                                      Symbols                                      |                                    Input                                    |                   Actions                   |
+-------+----------------------------------------------------------+-----------------------------------------------------------------------------------+-----------------------------------------------------------------------------+---------------------------------------------+
|   0   |                          ['I0']                          |                                       ['$']                                       | ['ID', 'PLUS', 'ID', 'TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$'] |                 Shift to I1                 |
|   1   |                       ['I0', 'I1']                       |                                    ['$', 'ID']                                    |    ['PLUS', 'ID', 'TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$']    |            Reduce by factor → ID            |
|   2   |                       ['I0', 'I4']                       |                                  ['$', 'factor']                                  |    ['PLUS', 'ID', 'TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$']    |           Reduce by term → factor           |
|   3   |                       ['I0', 'I5']                       |                                   ['$', 'term']                                   |    ['PLUS', 'ID', 'TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$']    |         Reduce by expression → term         |
|   4   |                       ['I0', 'I3']                       |                                ['$', 'expression']                                |    ['PLUS', 'ID', 'TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$']    |                 Shift to I7                 |
|   5   |                    ['I0', 'I3', 'I7']                    |                            ['$', 'expression', 'PLUS']                            |        ['ID', 'TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$']        |                 Shift to I1                 |
|   6   |                 ['I0', 'I3', 'I7', 'I1']                 |                         ['$', 'expression', 'PLUS', 'ID']                         |           ['TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$']           |            Reduce by factor → ID            |
|   7   |                 ['I0', 'I3', 'I7', 'I4']                 |                       ['$', 'expression', 'PLUS', 'factor']                       |           ['TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$']           |           Reduce by term → factor           |
|   8   |                ['I0', 'I3', 'I7', 'I10']                 |                        ['$', 'expression', 'PLUS', 'term']                        |           ['TIMES', 'LPAREN', 'ID', 'TIMES', 'ID', 'RPAREN', '$']           |                 Shift to I8                 |
