+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                   Tabla de parseo SLR(1) Simulación                                                                                    |
+-------+---------------------------------+-------------------------------------------------+--------------------------------------------------------------+---------------------------------------------+
| State |              Stack              |                     Symbols                     |                            Input                             |                   Actions                   |
+-------+---------------------------------+-------------------------------------------------+--------------------------------------------------------------+---------------------------------------------+
|   0   |              ['I0']             |                      ['$']                      | ['LPAREN', 'ID', 'PLUS', 'ID', 'RPAREN', 'TIMES', 'ID', '$'] |                 Shift to I2                 |
|   1   |           ['I0', 'I2']          |                 ['$', 'LPAREN']                 |      ['ID', 'PLUS', 'ID', 'RPAREN', 'TIMES', 'ID', '$']      |                 Shift to I1                 |
|   2   |        ['I0', 'I2', 'I1']       |              ['$', 'LPAREN', 'ID']              |         ['PLUS', 'ID', 'RPAREN', 'TIMES', 'ID', '$']         |            Reduce by factor → ID            |
|   3   |        ['I0', 'I2', 'I4']       |            ['$', 'LPAREN', 'factor']            |         ['PLUS', 'ID', 'RPAREN', 'TIMES', 'ID', '$']         |           Reduce by term → factor           |
|   4   |        ['I0', 'I2', 'I5']       |             ['$', 'LPAREN', 'term']             |         ['PLUS', 'ID', 'RPAREN', 'TIMES', 'ID', '$']         |         Reduce by expression → term         |
|   5   |        ['I0', 'I2', 'I6']       |          ['$', 'LPAREN', 'expression']          |         ['PLUS', 'ID', 'RPAREN', 'TIMES', 'ID', '$']         |                 Shift to I7                 |
|   6   |     ['I0', 'I2', 'I6', 'I7']    |      ['$', 'LPAREN', 'expression', 'PLUS']      |             ['ID', 'RPAREN', 'TIMES', 'ID', '$']             |                 Shift to I1                 |
|   7   |  ['I0', 'I2', 'I6', 'I7', 'I1'] |   ['$', 'LPAREN', 'expression', 'PLUS', 'ID']   |                ['RPAREN', 'TIMES', 'ID', '$']                |            Reduce by factor → ID            |
|   8   |  ['I0', 'I2', 'I6', 'I7', 'I4'] | ['$', 'LPAREN', 'expression', 'PLUS', 'factor'] |                ['RPAREN', 'TIMES', 'ID', '$']                |           Reduce by term → factor           |
|   9   | ['I0', 'I2', 'I6', 'I7', 'I10'] |  ['$', 'LPAREN', 'expression', 'PLUS', 'term']  |                ['RPAREN', 'TIMES', 'ID', '$']                | Reduce by expression → expression PLUS term |
|   10  |        ['I0', 'I2', 'I6']       |          ['$', 'LPAREN', 'expression']          |                ['RPAREN', 'TIMES', 'ID', '$']                |                 Shift to I9                 |
|   11  |     ['I0', 'I2', 'I6', 'I9']    |     ['$', 'LPAREN', 'expression', 'RPAREN']     |                     ['TIMES', 'ID', '$']                     | Reduce by factor → LPAREN expression RPAREN |
|   12  |           ['I0', 'I4']          |                 ['$', 'factor']                 |                     ['TIMES', 'ID', '$']                     |           Reduce by term → factor           |
|   13  |           ['I0', 'I5']          |                  ['$', 'term']                  |                     ['TIMES', 'ID', '$']                     |                 Shift to I8                 |
|   14  |        ['I0', 'I5', 'I8']       |              ['$', 'term', 'TIMES']             |                         ['ID', '$']                          |                 Shift to I1                 |
|   15  |     ['I0', 'I5', 'I8', 'I1']    |           ['$', 'term', 'TIMES', 'ID']          |                            ['$']                             |            Reduce by factor → ID            |
|   16  |    ['I0', 'I5', 'I8', 'I11']    |         ['$', 'term', 'TIMES', 'factor']        |                            ['$']                             |      Reduce by term → term TIMES factor     |
|   17  |           ['I0', 'I5']          |                  ['$', 'term']                  |                            ['$']                             |         Reduce by expression → term         |
|   18  |           ['I0', 'I3']          |               ['$', 'expression']               |                            ['$']                             |                    Accept                   |
+-------+---------------------------------+-------------------------------------------------+--------------------------------------------------------------+---------------------------------------------+
