+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                    Tabla de parseo SLR(1) Simulación                                                                                                                    |
+-------+---------------------------------------------------+----------------------------------------------------------------------------+----------------------------------------------------------------------------------+---------------------------------------------+
| State |                       Stack                       |                                  Symbols                                   |                                      Input                                       |                   Actions                   |
+-------+---------------------------------------------------+----------------------------------------------------------------------------+----------------------------------------------------------------------------------+---------------------------------------------+
|   0   |                       ['I0']                      |                                   ['$']                                    | ['LPAREN', 'ID', 'TIMES', 'LPAREN', 'ID', 'PLUS', 'ID', 'RPAREN', 'RPAREN', '$'] |                 Shift to I2                 |
|   1   |                    ['I0', 'I2']                   |                              ['$', 'LPAREN']                               |      ['ID', 'TIMES', 'LPAREN', 'ID', 'PLUS', 'ID', 'RPAREN', 'RPAREN', '$']      |                 Shift to I1                 |
|   2   |                 ['I0', 'I2', 'I1']                |                           ['$', 'LPAREN', 'ID']                            |         ['TIMES', 'LPAREN', 'ID', 'PLUS', 'ID', 'RPAREN', 'RPAREN', '$']         |            Reduce by factor → ID            |
|   3   |                 ['I0', 'I2', 'I4']                |                         ['$', 'LPAREN', 'factor']                          |         ['TIMES', 'LPAREN', 'ID', 'PLUS', 'ID', 'RPAREN', 'RPAREN', '$']         |           Reduce by term → factor           |
|   4   |                 ['I0', 'I2', 'I5']                |                          ['$', 'LPAREN', 'term']                           |         ['TIMES', 'LPAREN', 'ID', 'PLUS', 'ID', 'RPAREN', 'RPAREN', '$']         |                 Shift to I8                 |
|   5   |              ['I0', 'I2', 'I5', 'I8']             |                      ['$', 'LPAREN', 'term', 'TIMES']                      |             ['LPAREN', 'ID', 'PLUS', 'ID', 'RPAREN', 'RPAREN', '$']              |                 Shift to I2                 |
|   6   |           ['I0', 'I2', 'I5', 'I8', 'I2']          |                 ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN']                 |                  ['ID', 'PLUS', 'ID', 'RPAREN', 'RPAREN', '$']                   |                 Shift to I1                 |
|   7   |        ['I0', 'I2', 'I5', 'I8', 'I2', 'I1']       |              ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'ID']              |                     ['PLUS', 'ID', 'RPAREN', 'RPAREN', '$']                      |            Reduce by factor → ID            |
|   8   |        ['I0', 'I2', 'I5', 'I8', 'I2', 'I4']       |            ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'factor']            |                     ['PLUS', 'ID', 'RPAREN', 'RPAREN', '$']                      |           Reduce by term → factor           |
|   9   |        ['I0', 'I2', 'I5', 'I8', 'I2', 'I5']       |             ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'term']             |                     ['PLUS', 'ID', 'RPAREN', 'RPAREN', '$']                      |         Reduce by expression → term         |
|   10  |        ['I0', 'I2', 'I5', 'I8', 'I2', 'I6']       |          ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'expression']          |                     ['PLUS', 'ID', 'RPAREN', 'RPAREN', '$']                      |                 Shift to I7                 |
|   11  |     ['I0', 'I2', 'I5', 'I8', 'I2', 'I6', 'I7']    |      ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'expression', 'PLUS']      |                         ['ID', 'RPAREN', 'RPAREN', '$']                          |                 Shift to I1                 |
|   12  |  ['I0', 'I2', 'I5', 'I8', 'I2', 'I6', 'I7', 'I1'] |   ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'expression', 'PLUS', 'ID']   |                            ['RPAREN', 'RPAREN', '$']                             |            Reduce by factor → ID            |
|   13  |  ['I0', 'I2', 'I5', 'I8', 'I2', 'I6', 'I7', 'I4'] | ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'expression', 'PLUS', 'factor'] |                            ['RPAREN', 'RPAREN', '$']                             |           Reduce by term → factor           |
|   14  | ['I0', 'I2', 'I5', 'I8', 'I2', 'I6', 'I7', 'I10'] |  ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'expression', 'PLUS', 'term']  |                            ['RPAREN', 'RPAREN', '$']                             | Reduce by expression → expression PLUS term |
|   15  |        ['I0', 'I2', 'I5', 'I8', 'I2', 'I6']       |          ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'expression']          |                            ['RPAREN', 'RPAREN', '$']                             |                 Shift to I9                 |
|   16  |     ['I0', 'I2', 'I5', 'I8', 'I2', 'I6', 'I9']    |     ['$', 'LPAREN', 'term', 'TIMES', 'LPAREN', 'expression', 'RPAREN']     |                                 ['RPAREN', '$']                                  | Reduce by factor → LPAREN expression RPAREN |
|   17  |          ['I0', 'I2', 'I5', 'I8', 'I11']          |                 ['$', 'LPAREN', 'term', 'TIMES', 'factor']                 |                                 ['RPAREN', '$']                                  |      Reduce by term → term TIMES factor     |
|   18  |                 ['I0', 'I2', 'I5']                |                          ['$', 'LPAREN', 'term']                           |                                 ['RPAREN', '$']                                  |         Reduce by expression → term         |
|   19  |                 ['I0', 'I2', 'I6']                |                       ['$', 'LPAREN', 'expression']                        |                                 ['RPAREN', '$']                                  |                 Shift to I9                 |
|   20  |              ['I0', 'I2', 'I6', 'I9']             |                  ['$', 'LPAREN', 'expression', 'RPAREN']                   |                                      ['$']                                       | Reduce by factor → LPAREN expression RPAREN |
|   21  |                    ['I0', 'I4']                   |                              ['$', 'factor']                               |                                      ['$']                                       |           Reduce by term → factor           |
|   22  |                    ['I0', 'I5']                   |                               ['$', 'term']                                |                                      ['$']                                       |         Reduce by expression → term         |
|   23  |                    ['I0', 'I3']                   |                            ['$', 'expression']                             |                                      ['$']                                       |                    Accept                   |
+-------+---------------------------------------------------+----------------------------------------------------------------------------+----------------------------------------------------------------------------------+---------------------------------------------+
